ticker,accuracy,precision,recall,f1,directional_accuracy,win_rate,total_return,num_trades,trade_coverage,best_threshold_up,best_threshold_down
HDFCBANK,0.5270092226613966,0.5533980582524272,0.56575682382134,0.5595092024539877,0.4626865671641791,0.4701492537313433,-0.14925730031004592,134,0.17654808959156784,0.5119515359401703,0.4880484640598297
ICICIBANK,0.49738903394255873,0.5617021276595745,0.3188405797101449,0.4067796610169492,0.47307692307692306,0.46923076923076923,-0.07051168608533831,260,0.3394255874673629,0.52,0.48
INFY,0.5169491525423728,0.5191387559808612,0.5228915662650603,0.5210084033613446,0.5368421052631579,0.5263157894736842,-0.02505928569707594,95,0.11501210653753027,0.5165837407112122,0.48341625928878784
RELIANCE,0.5104039167686658,0.512087912087912,0.5669099756690997,0.5381062355658198,0.5082266910420475,0.4990859232175503,0.09178054058772322,547,0.6695226438188494,0.52,0.48
TCS,0.5098934550989346,0.49,0.6242038216560509,0.5490196078431373,0.5108303249097473,0.49458483754512633,0.021022920986436988,554,0.8432267884322678,0.52,0.48
