Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-19 00:00:00+05:30,3866.640258482223,3871.5637647018066,3802.8224229354896,3848.58740234375,772291,0.0,0.0
2024-02-20 00:00:00+05:30,3828.2371155114192,3843.1482139238024,3760.6208730684352,3779.986572265625,1193648,0.0,0.0
2024-02-21 00:00:00+05:30,3763.4346602864093,3810.6535246443304,3733.0496825963114,3743.271728515625,1885939,0.0,0.0
2024-02-22 00:00:00+05:30,3724.0461165985157,3840.2877016688244,3724.0461165985157,3832.926025390625,2982052,0.0,0.0
2024-02-23 00:00:00+05:30,3873.1581442686033,3873.1581442686033,3794.7570791114713,3800.102783203125,2538072,0.0,0.0
2024-02-26 00:00:00+05:30,3785.0037308931537,3798.133079811019,3735.065314473416,3752.227294921875,1379284,0.0,0.0
2024-02-27 00:00:00+05:30,3750.305466004411,3867.531818405149,3750.305466004411,3849.150634765625,2960475,0.0,0.0
2024-02-28 00:00:00+05:30,3840.8976823678586,3896.509674983892,3834.7080400231876,3862.795654296875,1939225,0.0,0.0
2024-02-29 00:00:00+05:30,3844.08608110517,3880.7545712662445,3811.778548098447,3840.4287109375,3772719,0.0,0.0
2024-03-01 00:00:00+05:30,3851.776300908435,3882.5363087877504,3832.6448252006635,3839.725341796875,2043265,0.0,0.0
2024-03-04 00:00:00+05:30,3849.7131636292625,3861.810830830789,3822.422778973925,3826.92431640625,1749271,0.0,0.0
2024-03-05 00:00:00+05:30,3809.387240696813,3811.2628621841086,3732.4867597177044,3762.590576171875,2070859,0.0,0.0
2024-03-06 00:00:00+05:30,3745.662985779128,3818.7652862706927,3712.276832263034,3811.544189453125,1744204,0.0,0.0
2024-03-07 00:00:00+05:30,3812.2007150112554,3867.5315494972733,3786.598435635506,3853.08935546875,2688905,0.0,0.0
2024-03-11 00:00:00+05:30,3834.707809455719,3894.7276920199565,3834.707809455719,3865.98388671875,2304068,0.0,0.0
2024-03-12 00:00:00+05:30,3865.984229655007,3966.8927577504023,3864.764800933032,3931.537109375,4039801,0.0,0.0
2024-03-13 00:00:00+05:30,3943.493961270788,3977.255146194866,3874.9399080779876,3890.9765625,2837260,0.0,0.0
2024-03-14 00:00:00+05:30,3895.1497744818453,3962.2499424114544,3831.8942638327107,3945.93212890625,2919608,0.0,0.0
2024-03-15 00:00:00+05:30,3931.8653458631275,3975.3796720157243,3917.2354069378816,3956.85791015625,3373143,0.0,0.0
2024-03-18 00:00:00+05:30,3953.1061605013683,3990.1496794717273,3861.7634989777794,3894.258544921875,1526904,0.0,0.0
2024-03-19 00:00:00+05:30,3799.3056461900082,3805.6358684946754,3719.9200610190014,3729.95458984375,8931209,0.0,0.0
2024-03-20 00:00:00+05:30,3738.11367070717,3768.1236148774233,3713.9181074283624,3723.95263671875,1817913,0.0,0.0
2024-03-21 00:00:00+05:30,3741.9116546616547,3759.120343748554,3702.476668668117,3725.875,3829582,0.0,0.0
2024-03-22 00:00:00+05:30,3654.6486037932596,3693.098845711536,3615.2605510964886,3667.68408203125,5852485,0.0,0.0
2024-03-26 00:00:00+05:30,3634.0160692068625,3701.257043328138,3630.686795790637,3636.360595703125,3440925,0.0,0.0
2024-03-27 00:00:00+05:30,3646.677238477006,3652.7730085811854,3591.2525294851544,3602.037353515625,1968575,0.0,0.0
2024-03-28 00:00:00+05:30,3610.6650016041267,3671.5288233376846,3601.661927465741,3635.235595703125,4311783,0.0,0.0
2024-04-01 00:00:00+05:30,3655.3048258696854,3688.690979343402,3646.2550439346555,3673.170166015625,1569676,0.0,0.0
2024-04-02 00:00:00+05:30,3648.083423198765,3666.6990561572848,3632.140642171932,3642.26904296875,2142666,0.0,0.0
2024-04-03 00:00:00+05:30,3611.5088559037185,3733.4242418469757,3611.5088559037185,3701.820068359375,3973090,0.0,0.0
2024-04-04 00:00:00+05:30,3728.6412532863997,3778.1107648289094,3690.519342135764,3754.33740234375,3394637,0.0,0.0
2024-04-05 00:00:00+05:30,3730.610939757806,3753.1183964079287,3714.199252617092,3731.783203125,1636819,0.0,0.0
2024-04-08 00:00:00+05:30,3735.3000761758317,3781.8622865716975,3713.7304297404708,3725.5,2302538,0.0,0.0
2024-04-09 00:00:00+05:30,3736.237662579727,3766.1070236289547,3680.953770065772,3701.11669921875,1876992,0.0,0.0
2024-04-10 00:00:00+05:30,3710.3542591400274,3742.052307422326,3674.3424188992844,3736.847412109375,2101965,0.0,0.0
2024-04-12 00:00:00+05:30,3724.0463102085732,3763.76268515537,3700.1321372268762,3752.5556640625,4354821,0.0,0.0
2024-04-15 00:00:00+05:30,3752.5557696224905,3811.4503293550783,3675.32719325435,3696.099609375,4200329,0.0,0.0
2024-04-16 00:00:00+05:30,3659.33739612377,3684.37689632826,3622.622198353119,3631.953369140625,3051420,0.0,0.0
2024-04-18 00:00:00+05:30,3635.7048405060677,3691.2231923226304,3610.571466067614,3621.8251953125,3476284,0.0,0.0
2024-04-19 00:00:00+05:30,3599.317187756726,3612.962378176155,3564.5243218990936,3588.2509765625,2957749,0.0,0.0
2024-04-22 00:00:00+05:30,3598.379760081903,3636.8299998951316,3574.934491903105,3624.263427734375,1728883,0.0,0.0
2024-04-23 00:00:00+05:30,3635.9388098818245,3652.7724651814333,3620.5118705508353,3633.73486328125,1807586,0.0,0.0
2024-04-24 00:00:00+05:30,3648.0837008405756,3655.586186600659,3586.6101623523527,3592.7998046875,1317312,0.0,0.0
2024-04-25 00:00:00+05:30,3574.1837976912666,3632.7500252586483,3573.996281358353,3612.634033203125,2856271,0.0,0.0
2024-04-26 00:00:00+05:30,3615.400944510773,3635.7046841917695,3566.07223748283,3583.703125,2039178,0.0,0.0
2024-04-29 00:00:00+05:30,3599.3174341023114,3636.6423454168485,3581.6865473099597,3629.514892578125,1110693,0.0,0.0
2024-04-30 00:00:00+05:30,3631.2033055362826,3640.346960554097,3573.059037730691,3583.046630859375,2203078,0.0,0.0
2024-05-02 00:00:00+05:30,3543.095825813969,3630.3591588386275,3543.095825813969,3623.044189453125,2491044,0.0,0.0
2024-05-03 00:00:00+05:30,3648.224242496259,3651.459872612422,3561.430044438285,3604.381591796875,2962234,0.0,0.0
2024-05-06 00:00:00+05:30,3613.384573734727,3694.927167103904,3613.384573734727,3677.20263671875,2053831,0.0,0.0
2024-05-07 00:00:00+05:30,3686.3462169354693,3739.988941315255,3670.12204659911,3731.501708984375,2062112,0.0,0.0
2024-05-08 00:00:00+05:30,3714.6679426556366,3736.518976345146,3693.6610759161904,3729.6259765625,1247685,0.0,0.0
2024-05-09 00:00:00+05:30,3715.6055853348926,3724.04588070794,3666.886370612002,3713.91748046875,1726486,0.0,0.0
2024-05-10 00:00:00+05:30,3716.1687445881325,3726.484662213695,3643.441479536376,3651.740966796875,1672489,0.0,0.0
2024-05-13 00:00:00+05:30,3642.925600436705,3709.041253630369,3629.327345524533,3702.2890625,931326,0.0,0.0
2024-05-14 00:00:00+05:30,3691.2230172569975,3700.413608162642,3650.803283386374,3658.587158203125,1058317,0.0,0.0
2024-05-15 00:00:00+05:30,3661.6818959693137,3682.7357004952323,3634.485385536964,3639.08056640625,1115021,0.0,0.0
2024-05-16 00:00:00+05:30,3675.637702384871,3693.0187445265583,3630.67337116967,3684.942138671875,2599399,28.0,0.0
2024-05-17 00:00:00+05:30,3701.992673680125,3702.937300542508,3617.9208829280115,3621.7939453125,2765804,0.0,0.0
2024-05-21 00:00:00+05:30,3618.487832180219,3631.8542103330115,3599.0757035999536,3608.66357421875,1908117,0.0,0.0
2024-05-22 00:00:00+05:30,3622.644427783305,3628.548346342274,3606.1607332910276,3619.810546875,1311168,0.0,0.0
2024-05-23 00:00:00+05:30,3628.264270607641,3688.767663426612,3613.6698326347005,3677.857177734375,2095742,0.0,0.0
2024-05-24 00:00:00+05:30,3663.4995783587715,3668.742304212367,3631.429538571892,3636.341552734375,1309452,0.0,0.0
2024-05-27 00:00:00+05:30,3641.536837624862,3691.9327769001197,3628.642772199506,3634.027099609375,1841538,0.0,0.0
2024-05-28 00:00:00+05:30,3644.370544047232,3655.706066734782,3617.9209911096164,3627.272705078125,1801993,0.0,0.0
2024-05-29 00:00:00+05:30,3635.7739025907463,3635.7739025907463,3589.5817455350693,3593.029541015625,1568095,0.0,0.0
2024-05-30 00:00:00+05:30,3567.8558516313005,3584.2922676744465,3509.714018991741,3529.220703125,2919230,0.0,0.0
2024-05-31 00:00:00+05:30,3532.9042615855815,3542.161650427461,3451.4301994032935,3467.677734375,10956800,0.0,0.0
2024-06-03 00:00:00+05:30,3526.1032967744277,3543.815050940118,3491.3409811408733,3497.811767578125,2156773,0.0,0.0
2024-06-04 00:00:00+05:30,3495.1196584791387,3537.6278705417226,3392.627636061575,3509.2890625,3395997,0.0,0.0
2024-06-05 00:00:00+05:30,3510.2334721952598,3574.2792205302862,3495.1194421750433,3538.997314453125,2799670,0.0,0.0
2024-06-06 00:00:00+05:30,3571.634109972148,3627.2725390345563,3534.3213495003415,3618.298583984375,4328036,0.0,0.0
2024-06-07 00:00:00+05:30,3624.8168128885063,3698.2142761529285,3624.8168128885063,3678.329833984375,4552445,0.0,0.0
2024-06-10 00:00:00+05:30,3679.3219869872228,3689.6183285403354,3629.1622034653205,3645.031982421875,1734661,0.0,0.0
2024-06-11 00:00:00+05:30,3632.0901763711736,3665.1048380918546,3628.311669035547,3638.797119140625,1419898,0.0,0.0
2024-06-12 00:00:00+05:30,3659.862044439457,3677.9045088776033,3615.511861543188,3619.479248046875,2177001,0.0,0.0
2024-06-13 00:00:00+05:30,3643.23713885556,3674.5987063691045,3638.7028835305373,3663.40478515625,1932323,0.0,0.0
2024-06-14 00:00:00+05:30,3673.6538756786167,3673.6538756786167,3616.031636949793,3619.857421875,1860730,0.0,0.0
2024-06-18 00:00:00+05:30,3614.1900547154564,3629.2568087209993,3584.906618726297,3603.846435546875,1774045,0.0,0.0
2024-06-19 00:00:00+05:30,3615.7010098615556,3621.557881055292,3582.9225030243783,3591.18798828125,1509050,0.0,0.0
2024-06-20 00:00:00+05:30,3585.8038156912176,3598.9813152014426,3570.737062326571,3577.538330078125,2846526,0.0,0.0
2024-06-21 00:00:00+05:30,3615.08724810415,3663.0743420998706,3587.7403447033967,3599.737060546875,4642195,0.0,0.0
